"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1946","Inferna","Dec 20, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","INFERNA LIMITED","INFERNA LIMITED"
"1947","Eldevin","Nov 5, 2014","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Hunted Cow Studios","Hunted Cow Studios"
"1949","雀姬/姫麻雀","Aug 5, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Jack Tech","Smile Tech"
"1950","Ashland:Explore","Apr 23, 2020","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","探X索, Explore X Studio","探X索, Explore X Studio"
"1951","Mighty Party","Mar 30, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Panoramik Inc","Panoramik Inc"
"1952","Warfork","Aug 16, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Team Forbidden","Team Forbidden"
"1955","Midas Gold Plus","Feb 1, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Holyday Studios","Holyday Studios"
"1960","Warspear Online","Nov 2, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","AIGRIND","AIGRIND"
"1962","Hunger Dungeon","Dec 6, 2016","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","No Stuck Game Studio","No Stuck Game Studio"
"1964","Epic Battle Fantasy 3","Sep 1, 2010","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Matt Roszak","Matt Roszak"
"1967","Dreamscaper: Prologue","Apr 8, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Afterburner Studios","Afterburner Studios, Maple Whispering Limited"
"1970","ChilloutVR","Feb 8, 2021","Free","N/A (N/A)","200,000 .. 500,000","03:49 (01:16)","Alpha Blend Interactive","Alpha Blend Interactive"
"1971","Kingdom Wars","Apr 1, 2013","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Reverie World Studios","Space Bullet Dynamics Corporation"
"1978","九劫曲：诅咒之地 NINE TRIALS","Jun 28, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","爱玩工作室","爱玩工作室"
"1980","Onmyoji","Apr 18, 2018","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","NetEase Games","NetEase Games"
"1984","Legend of Keepers: Prologue","Oct 10, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Goblinz Studio","Goblinz Publishing"
"1985","Depression Quest","Aug 11, 2014","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","The Quinnspiracy, Patrick Lindsey, Isaac Schankler","The Quinnspiracy"
"1988","Prison Simulator: Prologue","May 20, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Baked Games S.A.","Baked Games S.A., PlayWay S.A."
"1989","MINDNIGHT","Aug 4, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","No Moon","No Moon"
"1990","Animation Throwdown: The Quest for Cards","May 5, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Synapse Games, Chinzilla","Kongregate"
"1996","Hero Zero","Jul 5, 2016","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Playata GmbH","European Games Group AG"
"1998","异化之恶〇Abnormal Treatment","Aug 2, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Eternal Dream","Eternal Dream, 迷糊的安安"
"2000","Life is Feudal: MMO","Jan 12, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Bitbox Ltd.","Bitbox Ltd."
"2003","Book of Yog Idle RPG","Jul 29, 2022","Free","N/A (N/A)","200,000 .. 500,000","01:00 (00:20)","QiHeShe Technology Co.Ltd","QiHeShe Technology Co.Ltd"
"2004","Stoneshard: Prologue","Jun 5, 2018","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ink Stains Games","HypeTrain Digital"
"2005","Angel Legion","Aug 14, 2020","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Shanghai SilverMoon Network Technology Co.Ltd","Shanghai SilverMoon Network Technology Co.Ltd"
"2011","Endless World Idle RPG","Aug 26, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Radiance Games","Radiance Games"
"2016","Firestone Idle RPG","Sep 26, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:01 (00:00)","Holyday Studios","Holyday Studios"
"2020","The Riftbreaker: Prologue","Aug 5, 2020","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","EXOR Studios","EXOR Studios, Surefire.Games"
"2021","Backbone: Prologue","Apr 24, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","EggNut","Raw Fury"
"2024","Confess My Love","May 20, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","LR Studio","LR Studio"
"2025","Left on Read","May 19, 2020","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Weston Bell-Geddes","Spookulele Games"
"2026","Planet Explorers","Nov 8, 2016","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Pathea Games","Pathea Games"
"2028","Word Game: Episode 0","Jan 14, 2021","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Team9","Team9"
"2030","the static speaks my name","Aug 10, 2015","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","the whale husband","the whale husband"
"2031","Tree of Life","Aug 17, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","OddOneGames","OddOneGames"
"2040","AdventureQuest 3D","Oct 28, 2022","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Artix Entertainment, LLC","Artix Entertainment, LLC"
"2046","DRAGON QUEST XI: Echoes of an Elusive Age - Digital Edition of Light","Sep 4, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"2050","Walking Zombie 2","Oct 11, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:19 (00:06)","Alda Games","Alda Games"
"2124","Labyronia RPG 2","Aug 28, 2015","$0.47","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Labyrinthine","Senpai Studios"
"2141","Asteroid Bounty Hunter","Feb 17, 2016","$1.09","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","EGAMER","SA Industry"
"2153","Penny Arcade's On the Rain-Slick Precipice of Darkness 3","Jun 25, 2012","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Zeboyd Games","Penny Arcade, Inc."
"2177","Gothic 3: Forsaken Gods Enhanced Edition","Mar 22, 2011","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Trine Studios, G3 Community Patch Team, Mad Vulture Games","THQ Nordic"
"2210","Legend of Mysteria RPG","Oct 9, 2015","$0.47","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Labyrinthine","Senpai Studios"
"2225","Deep Dungeons of Doom","Oct 14, 2014","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Bossa Studios","Bossa Studios"
"2263","Battlepaths","Oct 28, 2012","$2.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Key17 Games","Digerati"
"2285","Age of Wonders","Oct 2010","$5.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Triumph Studios","Paradox Interactive"
"2291","STORM AREA 51: AYY LMAO EDITION","Sep 19, 2019","$0.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Agafonoff","Agafonoff"
"2292","Demonicon","Oct 24, 2013","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Noumena Studios","Kalypso Media Digital"
"2345","16bit Trader","Jun 4, 2015","$0.53","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Forever Entertainment S. A.","Forever Entertainment S. A."
"2354","How To Survive: Third Person Standalone","Jul 2, 2015","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Eko Software","505 Games"
"2390","懒人修仙传","Nov 15, 2018","$3.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","托更的修罗","托更的修罗"
"2412","Sins Of The Demon RPG","May 13, 2016","$0.61","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Chandler Rounsley","Senpai Studios"
"2430","The Chosen RPG","Feb 4, 2016","$0.65","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Little Big Lee","Senpai Studios"
"2441","FootLOL: Epic Soccer League","Aug 7, 2013","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","HeroCraft","HeroCraft PC"
"2449","Labyronia RPG","Aug 14, 2015","$0.47","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Labyrinthine","Senpai Studios"
"2453","Evil Maze","Jun 17, 2016","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ZOV GAME STUDIO","ZOV GAME STUDIO"
"2459","Chinese Paladin：Sword and Fairy","Jul 21, 2001","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SOFTSTAR TECHNOLOGY(BEIJING)","SOFTSTAR TECHNOLOGY(BEIJING), SOFTSTAR ENTERTAINMENT"
"2472","Monster Loves You!","Mar 18, 2013","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Radial Games Corp, Dejobaan Games, LLC","Radial Games Corp"
"2477","Heroes of the Three Kingdoms","Nov 12, 2020","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd."
"2478","Edge of Space","Sep 17, 2015","$11.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Handyman Studios","Reverb Triple XP"
"2494","Hero of the Kingdom III","Aug 30, 2018","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Lonely Troops","Lonely Troops"
"2503","Great Hero's Beard","Oct 17, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","OneShark","SakuraGame"
"2515","Undead Horde","May 15, 2019","$16.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","10tons Ltd","10tons Ltd"
"2524","Full Mojo Rampage","May 8, 2014","$8.7","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Over the Top Games","Over The Top Games"
"2531","Loot Hero DX","Jul 3, 2015","$0.74","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","VaragtP","VaragtP"
"2538","CONSORTIUM","Jan 8, 2014","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Interdimensional Games Inc","Interdimensional Games Inc"
"2539","Microcosmum: survival of cells","Jul 24, 2018","$3.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Satur Entertainment","Satur Entertainment"
"2543","Shadows Over Loathing","Nov 11, 2022","$22.99","N/A (N/A)","200,000 .. 500,000","13:09 (21:51)","Asymmetric","Asymmetric"
"2550","Heroes of the Three Kingdoms 2","Nov 12, 2020","$0.99","N/A (N/A)","200,000 .. 500,000","14:41 (04:53)","USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd."
"2551","Frozen Flame","Nov 17, 2022","$29.99","N/A (N/A)","200,000 .. 500,000","08:28 (08:28)","Dreamside Interactive","Ravenage Games, 2P Games"
"2560","Seven: Enhanced Edition","Dec 1, 2017","$5.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","IMGN.PRO, Fool's Theory","IMGN.PRO"
"2563","挂机神话","Feb 6, 2022","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","摸鱼猫工作室","摸鱼猫工作室"
"2564","Out There: Ω Edition","Apr 2, 2015","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Mi-Clos Studio, FibreTigre","Mi-Clos Studio, WhisperGames, Fractale"
"2565","Shoppe Keep 2","Apr 25, 2019","$9.99","N/A (N/A)","200,000 .. 500,000","06:41 (02:13)","Strange Fire","Excalibur Publishing"
"2566","No-brainer Heroes 挂机吧！勇者","Nov 29, 2019","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","小团团工作室","小团团工作室"
"2567","Crystal Project","Mar 31, 2022","$13.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Andrew Willman","Andrew Willman"
"2572","Dungeons & Dragons: Chronicles of Mystara","Jun 18, 2013","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Iron Galaxy Studios","Capcom"
"2576","Super Seducer 2 - Advanced Seduction Tactics","Sep 13, 2018","$3.63","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","RLR Training Inc","Crabby Team"
"2578","SteamWorld Quest: Hand of Gilgamech","May 31, 2019","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Image & Form Games","Thunderful Publishing"
"2579","Weapon Shop Fantasy","Mar 27, 2017","$5.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","INDIECN","INDIECN"
"2582","Phoenotopia: Awakening","Jan 21, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cape Cosmic","Cape Cosmic, Flyhigh Works"
"2584","Ampu-Tea","May 30, 2014","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","ProjectorGames","KISS ltd"
"2597","Super Seducer : How to Talk to Girls","Mar 6, 2018","$3.63","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","RLR Training Inc","Gushmush"
"2602","Fallen ~Makina and the City of Ruins~","Feb 23, 2018","$6.74","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Another Story","Kagura Games"
"2605","镇邪","Nov 4, 2022","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","灵煦工作室","INDIECN"
"2609","Hedon Bloodrite","May 16, 2019","$16.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Zan_HedonDev","Zan_HedonDev"
"2610","Tales from Candlekeep: Tomb of Annihilation","Oct 11, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BKOM Studios","BKOM Studios"
"2616","The Heiress","Aug 11, 2017","N/A","N/A (N/A)","200,000 .. 500,000","01:02 (00:20)","ONEONE1","Paradise Project"
"2624","HellSign","Feb 24, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ballistic Interactive","Ballistic Interactive"
"2628","Skyborn","Feb 21, 2014","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dancing Dragon Games","Komodo"
"2629","秦殇 (Prince of Qin)","Jan 10, 2022","$0.99","N/A (N/A)","200,000 .. 500,000","00:20 (00:06)","北京目标在线科技有限公司","北京目标在线科技有限公司"
"2630","The Initial","Jul 17, 2017","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Restory Studio","Restory Studio"
"2633","Planet Centauri","Jun 3, 2016","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Permadeath","Permadeath"
"2639","Clicker Heroes 2","Jul 16, 2018","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Playsaurus","Playsaurus"
"2645","Sea Dogs: To Each His Own - Pirate Open World RPG","Feb 12, 2016","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BlackMark Studio","Akella, Valkyrie Initiative"
"2647","武林志（Wushu Chronicles）","Apr 9, 2019","$12.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","JiangHu Studio","Snail Games"
"2652","Slasher's Keep","Nov 19, 2020","$13.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Damian Schloter","Damian Schloter"
"2658","Divinity: Dragon Commander","Aug 6, 2013","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Larian Studios","Larian Studios"
"2659","Quest Hunter","Mar 8, 2019","$3.99","N/A (N/A)","200,000 .. 500,000","01:41 (00:33)","2 Zombie Games","2 Zombie Games"
"2660","Secret of Mana","Feb 15, 2018","$39.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"2663","Mini Healer","Apr 24, 2020","$7.99","N/A (N/A)","200,000 .. 500,000","01:57 (00:39)","Sad Doge","Sad Doge"
"2667","DYSMANTLE","Nov 16, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","10tons Ltd","10tons Ltd"
"2669","Sakura Dungeon","Jun 3, 2016","$8.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Winged Cloud","Winged Cloud"
"2682","Forward to the Sky","Jan 29, 2015","$7.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Animu Game","Animu Game"
"2683","Shoppe Keep","May 20, 2016","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Strange Fire","Excalibur Publishing"
"2688","Treasure Hunter Claire","Jul 19, 2018","$4.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Acerola","Kagura Games"
"2696","Heroes of the Three Kingdoms 7","Nov 12, 2020","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","USERJOY Technology Co.,Ltd.","USERJOY Technology Co.,Ltd."
"2701","Ys I & II Chronicles+","Feb 14, 2013","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Nihon Falcom","XSEED Games"
"2704","古剑奇谭二(GuJian2)","Aug 18, 2013","$15.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","上海烛龙信息科技有限公司, Aurogon Shanghai","北京网元圣唐娱乐科技有限公司"
"2708","FINAL FANTASY VI","Feb 23, 2022","$17.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"2710","Breach & Clear","Mar 21, 2014","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Mighty Rabbit Studios, Gun.","Good Shepherd Entertainment, Devolver Digital"
"2711","Survivalist","Jan 30, 2015","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Bob","Ginormocorp Holdings Ltd"
"2714","Guardians of Orion (Phase 2)","Dec 1, 2015","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","DANKIE","DANKIE"
"2716","Red Solstice 2: Survivors","Jun 17, 2021","$29.99","N/A (N/A)","200,000 .. 500,000","05:48 (03:51)","Ironward","505 Games"
"2720","大千世界","Jul 17, 2020","$3.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","滑稽工作室","滑稽工作室"
"2722","StarMade","Nov 27, 2014","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Schine GmbH","Schine GmbH"
"2723","Final Fantasy IV (3D Remake)","Sep 17, 2014","$15.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix, DotEmu SAS.","Square Enix"
"2726","ArcheAge: Unchained","Oct 17, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","XLGAMES","Kakao Games Europe B.V."
"2728","Runestone Keeper","Mar 2, 2015","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Blackfire","Cimugames"
"2731","Wurm Unlimited","Oct 21, 2015","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Code Club AB","Plug In Digital"
"2735","Knights of Pen and Paper 2","Oct 20, 2015","$7.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Kyy Games","Paradox Interactive"
"2737","Elise the Devil","Nov 1, 2017","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Dieselmine","Paradise Project"
"2739","Throne of Lies: Medieval Politics","Sep 29, 2017","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","PT.farm Inc., Imperium42®, LLC","PT.farm Inc."
"2745","Space Pirates And Zombies 2","Nov 7, 2017","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","MinMax Games Ltd.","MinMax Games Ltd."
"2747","Alien Shooter 2: Reloaded","Mar 14, 2009","$0.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Sigma Team Inc.","Sigma Team Inc."
"2750","Overdungeon","Aug 23, 2019","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Pocketpair","Pocketpair"
"2754","Star Trek: Bridge Crew","May 30, 2017","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Ubisoft","Ubisoft"
"2760","Seek Girl Ⅲ","Dec 5, 2019","$0.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","DSGame","DSGame"
"2762","Faerie Solitaire","Sep 17, 2010","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Subsoap","Subsoap"
"2764","Vanishing Realms","Aug 23, 2019","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Indimo Labs LLC","Indimo Labs LLC"
"2767","Edge Of Eternity","Jun 8, 2021","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Midgar Studio","Dear Villagers, Maple Whispering Limited"
"2768","The Deed","Nov 23, 2015","$0.28","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Pilgrim Adventures, GrabTheGames Studios","GrabTheGames, WhisperGames"
"2776","Low Magic Age","Jan 10, 2017","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Low Magic Studios","Low Magic Studios"
"2777","Vikings - Wolves of Midgard","Mar 24, 2017","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Games Farm","Kalypso Media Digital"
"2778","Renowned Explorers: International Society","Sep 2, 2015","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Abbey Games","Abbey Games"
"2780","Hero's Hour","Mar 1, 2022","$17.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Benjamin ""ThingOnItsOwn"" Hauer","Goblinz Publishing, Maple Whispering Limited"
"2782","Empire of Sin","Dec 1, 2020","$39.99","N/A (N/A)","200,000 .. 500,000","14:52 (07:26)","Romero Games","Paradox Interactive"
"2784","Knights of Pen and Paper +1 Edition","Jun 18, 2013","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Behold Studios","Paradox Interactive"
"2787","Contradiction: Spot The Liar","Jul 10, 2015","$12.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Baggy Cat Ltd.","Baggy Cat Ltd."
"2796","再刷一把 PlayAgain","Jul 21, 2022","$8.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","滑稽工作室","滑稽工作室"
"2798","Hyperdimension Neptunia U: Action Unleashed","Mar 21, 2016","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Idea Factory, Compile Heart, Tamsoft","Idea Factory International"
"2800","RUSSIA BATTLEGROUNDS","Jul 13, 2018","$0.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Agafonoff","Agafonoff"
"2801","Epic Battle Fantasy 4","Feb 25, 2014","$11.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Matt Roszak","Matt Roszak"
"2804","FINAL FANTASY XIII-2","Dec 11, 2014","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"2805","King's Bounty II","Aug 24, 2021","$15.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Fulqrum Games","Fulqrum Publishing, Prime Matter, 方块游戏 (China)"
"2806","Sun Haven","Jun 25, 2021","$24.99","N/A (N/A)","200,000 .. 500,000","02:24 (00:48)","Pixel Sprout Studios","Pixel Sprout Studios"
"2808","Encased: A Sci-Fi Post-Apocalyptic RPG","Sep 7, 2021","$29.99","N/A (N/A)","200,000 .. 500,000","01:24 (00:55)","Dark Crystal Games","Prime Matter"
"2809","The Slormancer","Apr 6, 2021","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Slormite Studios","Slormite Studios, Abiding Bridge"
"2811","Hyperdimension Neptunia Re;Birth2: Sisters Generation","May 29, 2015","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Idea Factory, Compile Heart, Felistella","Idea Factory, Idea Factory International"
"2814","ANNO: Mutationem","Mar 16, 2022","$24.99","N/A (N/A)","200,000 .. 500,000","01:07 (00:50)","ThinkingStars","Lightning Games"
"2815","永远消失的幻想乡 ～ The Disappearing of Gensokyo","Jan 11, 2018","$10.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","MyACG Studio","MyACG Studio"
"2818","Zenith: The Last City","Jan 27, 2022","$29.99","N/A (N/A)","200,000 .. 500,000","05:25 (02:41)","Ramen VR","Ramen VR"
"2819","Megadimension Neptunia VII","Jul 5, 2016","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Idea Factory, Compile Heart","Idea Factory International"
"2821","Roguelands","Nov 6, 2015","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SmashGames","SmashGames"
"2822","Mr. Prepper","Mar 18, 2021","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Rejected Games","PlayWay S.A., Rejected Games"
"2827","Force of Nature","Dec 13, 2016","$7.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","A.Y.std","A.Y.std"
"2828","Legend of Grimrock 2","Oct 15, 2014","$23.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Almost Human Games","Almost Human Games"
"2830","LIGHTNING RETURNS: FINAL FANTASY XIII","Dec 10, 2015","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Square Enix","Square Enix"
"2832","NEOVERSE","Feb 18, 2020","$19.99","N/A (N/A)","200,000 .. 500,000","01:27 (00:29)","Tinogames Inc.","Tinogames Inc."
"2833","Hyperdimension Neptunia Re;Birth3 V Generation","Oct 30, 2015","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Idea Factory, Compile Heart, Felistella","Idea Factory, Idea Factory International"
"2836","Defender's Quest: Valley of the Forgotten (DX edition)","Oct 30, 2012","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Level Up Labs, LLC","Level Up Labs"
"2837","Rules Of Survival","May 30, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Netease Games","Netease Games"
"2838","GOD EATER 2 Rage Burst","Aug 29, 2016","$49.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","BANDAI NAMCO Studio, SHIFT, QLOC","BANDAI NAMCO Entertainment"
"2839","Caster","Mar 19, 2009","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Elecorn","Elecorn"
"2841","ELEX II","Mar 1, 2022","$49.99","N/A (N/A)","200,000 .. 500,000","06:11 (04:07)","Piranha Bytes","THQ Nordic"
"2842","Nobody Saves the World","Jan 18, 2022","$24.99","N/A (N/A)","200,000 .. 500,000","02:43 (00:54)","DrinkBox Studios","DrinkBox Studios"
"2844","Swords & Souls: Neverseen","Jul 22, 2019","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","SoulGame Studio","Armor Games Studios"
"2845","Costume Quest","Oct 14, 2011","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Double Fine Productions","Double Fine Productions"
"2850","Hell Girls","Jan 12, 2017","N/A","N/A (N/A)","200,000 .. 500,000","81:32 (27:10)","Athena Works","Athena Works, SakuraGame"
"2851","Staxel","Apr 11, 2019","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Plukit","Humble Games"
"2852","HIVESWAP: ACT 1","Sep 14, 2017","$7.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","What Pumpkin Games, Inc.","What Pumpkin Games, Inc."
